,wt_fe2_1,wt_fe2_2,wt_dpd_1,wt_dpd_2,delfur_fe2_1,delfur_fe2_2,delfur_dpd_1,delfur_dpd_2
b1311,3,1,10,14,4,4,8,4
b1312,7,5,22,7,9,6,7,8
b1313,26,21,47,32,26,21,35,40
b1314,25,26,42,29,22,25,33,26
b1315,24,19,49,48,25,28,43,42
b1316,42,34,66,58,47,28,54,73
b1317,5,1,8,13,7,6,12,9
b1319,5,2,8,6,5,6,4,6
b1320,189,214,100,80,250,252,121,126
b1321,291,249,614,580,543,483,470,490
b1322,204,165,421,354,312,315,364,323
b1323,1313,1151,1778,1583,1411,1461,2089,1982
b1324,12413,9976,12163,10234,13561,12644,11516,9956
b1325,414,330,1047,934,417,467,1102,943
b1326,543,476,1232,1075,631,604,1268,1172
b1327,93,66,383,382,122,109,343,390
b1328,193,170,248,208,246,218,221,259
b1329,748,617,772,670,742,655,857,704
b1330,350,332,345,264,469,439,301,303
b1331,12,8,10,6,2,2,16,8
b1332,1728,1395,678,586,1516,1466,803,830
b1333,2005,1741,4127,4304,2716,2623,3942,4417
b1334,4799,4111,5908,5433,5419,5186,5436,5615
b1335,162,128,169,132,144,159,184,142
b1336,26,17,49,36,28,30,41,33
b1337,25,17,54,51,34,30,58,54
b1338,9,16,37,32,13,8,28,32
b1339,99,91,74,56,83,84,66,71
b1340,322,240,557,486,408,380,598,419
b1341,830,698,1046,792,936,905,959,1055
b1342,623,498,1133,1046,783,714,1145,978
b1343,435,333,994,872,428,442,1220,1034
b1344,920,727,762,642,787,760,732,751
b1345,100,107,142,126,131,138,113,114
b1346,0,1,0,2,0,3,2,1
b1347,1,0,3,0,1,4,2,3
b1348,2,1,0,0,0,3,1,0
b1349,41,37,72,56,57,50,45,53
b1350,80,58,101,101,94,92,132,155
b1351,2,2,2,3,5,8,3,1
b1352,0,0,3,3,5,3,2,0
b1353,30,25,24,28,35,32,44,37
b1355,9,6,7,2,2,1,10,6
b1356,891,799,753,706,989,960,835,1006
b1357,13,9,17,19,9,7,18,24
b1358,11,15,30,27,13,19,21,37
b1359,32,23,69,59,29,33,55,75
b1360,17,12,91,74,31,26,64,61
b1363,228,195,196,135,210,220,216,233
b1365,13,15,18,14,21,16,18,15
b1370,323,302,428,371,331,292,375,407
b1372,61,41,160,129,70,80,132,122
b1373,0,0,1,0,0,0,0,0
b1374,53,58,67,66,77,83,104,115
b1375,22,15,59,67,36,25,96,162
b1376,561,508,561,650,846,742,605,577
b1377,12,8,14,16,14,9,14,11
