,wt_fe2_1,wt_fe2_2,wt_dpd_1,wt_dpd_2,delfur_fe2_1,delfur_fe2_2,delfur_dpd_1,delfur_dpd_2
b3107,307,234,142,112,241,269,250,136
b3110,75,70,39,103,74,74,67,80
b3113,50,30,36,95,52,55,76,58
b3114,191,134,104,192,175,194,204,198
b3115,82,78,25,48,102,87,75,53
b3116,179,148,65,98,175,176,146,128
b3117,20,17,5,24,12,18,18,17
b3118,13,15,9,8,10,8,10,15
b3119,0,0,0,0,2,0,1,0
b3120,1,0,2,2,1,0,2,6
b3121,11,16,2,1,6,4,8,15
b3124,240,185,427,796,262,296,671,684
b3125,177,127,248,501,185,185,482,446
b3126,54,35,48,87,66,26,118,100
b3127,12,17,13,28,11,17,20,17
b3128,157,150,133,206,222,244,234,233
b3129,606,519,470,1273,761,759,1148,1222
b3130,718,593,347,769,863,883,950,805
b3131,1264,918,675,1351,1154,1160,1560,1515
b3132,37,37,15,31,45,83,45,34
b3133,25,28,22,48,41,43,52,52
b3134,26,19,5,47,32,23,41,44
b3135,62,30,57,105,60,70,102,115
b3136,11,16,9,15,21,19,22,18
b3137,7,7,4,27,20,5,12,39
b3138,8,1,7,9,16,13,13,18
b3139,5,10,7,15,16,20,13,15
b3140,13,15,5,12,10,16,22,14
b3141,38,22,16,41,42,42,29,41
b3142,34,45,24,34,48,41,48,48
b3143,8,15,6,11,2,0,11,21
b3144,204,173,85,138,178,231,152,165
b3145,121,89,66,129,117,109,109,110
b3146,1274,1101,709,1107,1277,1091,1121,1189
b3147,4729,4175,2692,5848,4650,4556,5455,6593
b3148,840,706,168,815,735,705,886,943
b3149,1657,1487,695,1807,1859,1749,1915,2224
b3150,1621,1316,831,1677,1799,1573,2087,1883
b3151,1011,822,321,571,1744,1715,674,794
b3152,137,72,164,263,95,95,349,194
b3153,73,52,628,1007,102,92,952,958
b3154,181,139,125,134,194,210,180,187
b3155,130,148,87,92,146,141,154,129
b3156,772,621,347,906,804,847,878,932
b3157,1234,1000,650,1366,1265,1351,1476,1310
b3158,59,57,14,39,20,41,51,55
b3159,61,52,36,82,61,61,96,67
b3160,1502,1317,2107,3478,2164,2105,3869,3191
b3161,487,370,511,952,334,325,195,257
b3162,6357,4989,4314,11629,5078,4744,10810,13846
b3163,11215,8790,5274,11145,9362,9015,11620,13031
b3164,36500,29340,13248,23288,29223,27252,28938,29829
b3165,14980,13502,3656,4632,12934,11959,5584,5185
b3166,3146,2675,888,2397,2447,2151,2639,2930
b3167,2007,1574,723,1743,1603,1491,1811,2094
b3168,31892,26000,14669,25926,24519,23262,28402,32703
b3169,13190,10485,4868,10767,10452,10027,11791,14137
b3170,3568,2950,628,1859,2849,2779,2195,2574
b3172,33127,25683,3931,5290,20444,19857,9440,10596
b3173,81,76,76,87,96,81,147,93
b3175,13841,11561,2081,2580,9709,9506,3680,4174
b3176,7449,5962,3116,5793,6953,6509,6663,6535
b3177,2084,1635,388,1225,1819,1805,1430,1607
b3178,18021,14326,12684,23509,19900,20004,26812,28043
b3179,3430,2844,2951,5789,4195,4292,6070,6227
b3180,4148,3532,1329,1917,3418,3213,2196,2372
b3181,1537,1292,1078,1348,1468,1519,1697,1209
b3182,1199,1086,713,1469,1327,1288,1340,1636
b3183,2288,1764,1235,2356,1858,1766,2999,2471
b3184,1436,1065,394,924,1013,1011,1094,1077
b3185,18000,13894,2810,8239,13793,13904,10596,10899
b3186,23635,20235,3367,8516,19267,18933,11671,11629
b3187,5741,4898,2737,5025,5604,5005,5519,6053
b3188,97,73,47,66,88,92,109,73
b3189,6649,5036,2635,5087,6362,6107,5559,5755
b3190,1652,1335,511,953,1567,1440,1124,1320
b3191,1038,744,300,1675,1081,987,1754,1906
b3192,3506,2844,2106,5919,3933,3622,6033,6971
b3193,1682,1319,720,2063,1816,1644,2197,2328
b3194,1438,1084,730,1564,1370,1347,1679,1465
b3195,1861,1393,1409,2636,1816,1759,2497,2832
b3196,811,638,467,1045,758,794,1204,1281
b3197,3011,2292,1752,3737,2719,2533,3886,4295
b3198,1611,1353,768,2262,1527,1424,2476,2663
b3199,2151,1828,694,2525,2010,1886,2643,2687
b3200,3108,2651,1407,4119,3283,2857,4081,4669
b3201,2868,2150,1856,4151,3003,2793,5058,4046
b3202,9508,8277,5893,15560,10311,9571,15297,16975
b3203,4630,3747,2241,9107,4951,4675,8793,9188
b3204,3783,3023,2362,5203,3603,3388,5827,6153
b3205,4531,3716,2865,6648,4739,4396,6877,7801
b3206,468,354,186,897,485,411,906,1129
b3207,6228,4992,9647,16216,8229,8002,16766,15925
b3208,407,324,136,273,373,365,447,417
b3209,1306,1108,835,1448,1437,1364,1721,1789
b3210,2348,1956,2130,3246,2613,2430,4421,4137
b3211,71,61,27,73,40,55,89,85
b3212,187457,146897,19922,35490,77072,70896,34602,37947
b3213,57969,46677,6156,11466,24454,22077,10699,12062
b3214,978,847,43,54,528,424,97,91
b3215,74,80,7,12,49,30,8,19
b3216,276,238,156,277,288,283,404,323
b3218,3241,2811,1245,2203,2586,2160,2479,2826
b3219,310,306,159,333,410,361,356,320
b3220,137,102,75,138,124,115,119,134
b3221,184,172,250,535,254,283,665,615
b3222,257,189,388,928,309,262,898,939
b3223,91,73,113,285,81,117,278,237
b3224,111,109,136,283,156,144,238,276
b3225,148,138,60,105,175,167,170,123
b3226,1166,916,736,1398,1232,1057,1497,1458
b3227,22,19,18,29,39,27,21,14
b3228,4125,3177,1370,3094,3446,3285,3665,3185
b3229,7523,6006,3485,6121,6654,6604,6874,5912
b3230,34839,28059,3217,9717,26393,25083,14463,12210
b3231,41301,33528,7548,14242,32029,29285,19186,20580
b3232,1310,1050,503,848,1198,1162,1073,1070
b3233,2771,2429,1676,2564,3037,2994,3514,3278
b3234,1115,919,1164,2097,1287,1387,2085,2137
b3235,1446,1105,638,1128,1460,1351,1433,1019
b3236,43250,38128,18750,28384,44873,42058,32265,33839
b3237,2606,2038,976,1598,2606,2392,1960,2744
b3238,173,147,697,1103,222,247,912,731
b3239,184,113,657,815,209,270,864,595
b3240,149,163,116,247,173,136,190,234
